Iteration,Upper Vars,Lower Vars,Val Poisson Dev,Val RMSE,AIC,BIC,AADT elasticity min,AADT elasticity p10,AADT elasticity median,AADT elasticity p90,AADT elasticity share positive,Monotonic AADT OK,Phase
10,"AVEPRE_Z, GRADEBR_Z, LANES_Z, LOWPRE, MXGRADE_Z, MXMEDSH_Z","LANES_Z, SPEED_Z",587.9170036897439,16.806795128696695,1145.7990397522017,1179.964439965108,0.7823665081790097,0.7823665081790097,0.7893745828413271,1.081152490111052,1.0,yes,random
9,"ACCESS_Z, FC_Z, FRICTION_Z, MINRAD_Z, MXGRADE_Z, SINGLE_Z, SPEED_Z","CURVES_Z, FRICTION_Z, HISNOW",620.5545066256713,16.480856657924946,1152.2107747795383,1192.5880659402458,0.5314929035041186,0.6136826726322925,0.7223540416446733,0.8198454208620576,1.0,yes,random
7,"CURVES_Z, GRADEBR_Z, MIGRADE_Z, MXGRDIFF_Z",HISNOW,648.383598430484,16.84966539954677,1152.5490581252393,1177.396621916444,0.7761890885317969,0.7761890885317969,0.7761890885317969,0.7914501029570491,1.0,yes,random
1,"LANES_Z, WIDTH_Z",SPEED_Z,652.6977083589481,17.703780292736674,1153.2895214393566,1171.92519428276,0.8708426705940805,0.8708426705940805,0.8708426705940805,0.890650079769652,1.0,yes,
2,"LANES_Z, WIDTH_Z",SPEED_Z,652.6977083589481,17.703780292736674,1153.2895214393566,1171.92519428276,0.8708426705940805,0.8708426705940805,0.8708426705940805,0.890650079769652,1.0,yes,
8,"AVESNOW_Z, GRADEBR_Z, TRAIN_Z","AVESNOW_Z, LANES_Z, SLOPE_Z",663.6436224944036,17.67482667028782,1150.023979262868,1177.977488527973,-0.43615797749400825,0.35788236416234387,0.8819199571019108,0.961759479571928,0.9272727272727272,no,random
5,"EXPOSE_Z, MEDWIDTH_Z",AVESNOW_Z,670.4997271692866,17.132191178024215,1162.0998125505776,1180.735485393981,0.8001925768018929,0.8006946244700026,0.8010259575745502,0.8010764376874314,1.0,yes,random
3,"GRADEBR_Z, MIMEDSH_Z, PEAKHR_Z, SLOPE_Z, SPEED_Z, TANGENT_Z","HISNOW, LANES_Z, SLOPE_Z",696.6117839758633,16.762733837057496,1147.3392135743954,1184.6105592612025,0.8177612835660399,0.8177612835660399,0.8234437682380631,0.9639901869670638,1.0,yes,random
6,"CURVES_Z, FRICTION_Z, MINRAD_Z, TANGENT_Z",CURVES_Z,700.2811535511739,17.54377205010079,1157.4195037302156,1182.2670675214204,0.7449559379475608,0.7646113374592469,0.7793528870930115,0.7842667369709331,1.0,yes,random
12,"GRADEBR_Z, TANGENT_Z","AVESNOW_Z, FRICTION_Z",703.4356345145205,17.640538473218594,1161.0301873680382,1182.7718056853423,0.8112495390693775,0.816698378736197,0.8249334676487682,0.8336350170227119,1.0,yes,random
4,"CURVES_Z, SINGLE_Z",SLOPE_Z,711.4671955482243,17.878925566874976,1156.778727594871,1175.4144004382745,0.7164934208280719,0.7232919913726281,0.7368891324617405,0.7368891324617405,1.0,yes,random
11,"FRICTION_Z, MINRAD_Z","FRICTION_Z, SLOPE_Z",743.1925175428156,18.41559673092156,1159.8268276725091,1181.5684459898132,0.6439192146271618,0.7171802159972284,0.8241874266598057,0.9007227761076251,1.0,yes,random
